0,1,2,3,4,5
-10270,8090,-9500,11910,-2080,7850
-11310,7530,-10180,11910,760,7290
-11320,7490,-10180,11890,640,7480
-11620,6270,-10820,11830,-320,10660
-6160,4930,-10840,10250,-1900,9720
-6740,4370,-11200,12570,-2300,9300
-6820,4290,-11700,12190,-3000,11040
-7100,4270,-12000,13270,-3000,10560
-7420,4150,-12120,13830,-3000,10560
-8000,3990,-10820,13750,-3360,10440
-8480,3510,-12460,13750,300,9380
-9260,3490,-12520,14910,240,9140
-9880,2590,-12520,14910,-420,11320
-10260,2010,-12960,14690,2200,10320
-10270,1370,-13000,14070,1720,12110
-10490,3350,-13600,13630,1200,11910
-9790,3110,-13600,13630,960,11690
-10450,3090,-13600,14850,840,11270
-11190,2610,-14320,17230,400,11270
-9430,2250,-14320,16870,-440,11070
-9440,2230,-14340,16490,-440,11500
-5360,1470,-15180,15670,-1700,11100
-5370,1450,-15240,15070,-2160,12250
-5830,1250,-15240,14990,-1420,12250
-6810,1010,-15380,14470,-1420,14130
-7150,1830,-15740,14410,-1480,14130
-7710,3390,-16180,14410,-1860,13950
-7030,3170,-16180,14250,-1860,13650
-6510,3070,-16360,14150,-1920,13570
-6950,1850,-18160,13170,3140,12950
-6960,1590,-17470,13170,2720,12950
-7420,1250,-15310,12550,2400,12530
-6820,1150,-15410,12250,2400,12430
-7340,1130,-15570,12250,3600,11930
-7600,710,-15590,13630,3180,11670
-8460,-390,-16670,17770,2080,11670
-8860,-410,-16870,17390,1580,13170
-9560,-430,-16870,17210,2620,13030
-10520,-450,-14070,16590,2040,12410
-10880,490,-14290,16570,2040,12070
-10890,-330,-14330,18520,1540,11490
-11030,-510,-14390,18200,2600,11130
-11250,-1410,-12350,17500,2380,11130
-11330,-650,-12350,17180,2340,10810
-11340,-1210,-11320,17180,2300,10390
-11720,-270,-11320,16720,2300,10290
-11730,-290,-11050,16720,2060,10290
-12170,-890,-11250,16680,1440,12190
-12250,-1770,-11790,19540,1440,10830
-12260,-1790,-11760,19540,1440,10830
-13560,-3170,-13100,19540,6840,9450
-13880,-3610,-11460,19220,6460,9270
-13980,-4010,-10380,18820,6380,9170
-14180,-4030,-9940,18780,6220,9150
-13640,-4050,-9940,18520,6100,9010
-14080,-4150,-10340,19720,5940,8910
-14580,-4910,-10880,19660,7960,8750
-14860,-5650,-11640,22000,7400,8750
-15420,-5910,-12200,21640,6920,10970
-15820,-4950,-12240,21640,6760,10610
-16540,-4970,-10100,21500,6360,9750
-15740,-5350,-10160,21320,6180,9750
-15940,-5910,-8360,21100,5600,9510
-16340,-5930,-8360,20980,6220,9430
-16800,-5030,-8380,20980,5960,9270
-16880,-5370,-7240,20520,5960,9010
-17020,-4170,-7240,20520,5600,8310
-17300,-4190,-7480,21500,5380,8090
-17520,-4550,-7500,22820,5020,7730
-18120,-5270,-4920,22660,4360,7290
-18200,-4310,-4920,22500,4080,6850
-17260,-4570,-5240,22360,4080,6630
-17270,-4890,-5260,22040,4750,6630
-18330,-6010,-5440,22040,3510,10230
-19070,-6670,-2800,21600,3510,9430
-19080,-6690,-2800,21120,4340,9110
-19460,-6710,-2800,21100,5120,8750
-19820,-6730,-2800,21480,5120,8750
-18640,-6930,-2900,21180,4820,8470
-18740,-7130,-2920,21180,4580,9030
-15460,-7890,-3920,21000,4580,7690
-15960,-8190,-4420,20360,7240,6970
-16620,-8210,-4740,19580,9640,6350
-16630,-8350,-5160,20790,9420,5930
-17190,-9210,-5780,19930,13180,5070
-17290,-9430,-5860,19930,13100,5550
-17610,-9450,-6360,19930,12860,6630
-15950,-9770,-6880,19810,12160,6630
-15960,-10010,-6880,19790,11380,7680
-16280,-10570,-7520,19790,10900,9680
-16400,-9890,-7760,19630,10900,9520
-16700,-10590,-7760,18930,13000,9120
-17240,-10610,-6220,18330,12740,9000
-17500,-10870,-6240,18030,14140,8440
-18180,-11090,-7020,17750,13140,11400
-18190,-11390,-7060,17670,13140,11830
-18200,-12390,-7240,16610,15910,11310
-18380,-12590,-5720,15990,15550,11150
-19360,-13570,-2600,15690,15550,10290
-19560,-14050,-2900,15350,15490,11670
-19980,-14110,-2940,15310,16410,11310
-20020,-14170,-3880,14230,16410,13430
-16040,-14250,-4060,12750,14670,12930
-16440,-13450,-4100,12710,14350,12930
-17160,-14150,-2320,12350,14350,12930
-18140,-15130,-3300,12350,17390,12830
-18150,-14780,-3320,12190,17230,12830
-17790,-14800,-3540,12190,17230,12710
-18430,-15280,-3540,11810,19110,12330
-18610,-14700,-3680,11710,19110,12170
-18110,-14720,-3740,11390,19110,12070
-18450,-13300,-3740,11130,18730,11630
-18460,-13580,-2050,10530,17930,11630
-18860,-10640,-2930,9910,17770,10750
-19580,-10980,-2990,8870,20750,9930
-19620,-9700,-3190,8570,20550,9390
-20000,-9960,-3650,8210,20550,10850
-21000,-8020,-3650,7270,20550,10850
-21380,-8400,-4130,7270,22090,10550
-21390,-8700,-4230,7270,22640,10410
-21750,-7580,-4370,7230,22100,10370
-21990,-9200,-5110,11570,20720,10010
-22230,-9440,-5490,12870,20280,10010
-23270,-10060,-6390,12390,23320,10010
-22150,-10080,-6470,12390,22640,9670
-22210,-10160,-6650,12350,22460,10210
-22630,-10580,-6670,12350,22220,11310
-23150,-10600,-5430,11890,22100,11190
-23160,-10860,-5450,12500,22060,10910
-23300,-11440,-6030,11320,21280,14170
-22920,-11600,-6050,11220,21240,14110
-22930,-11760,-6070,11080,21180,14500
-21670,-11900,-6610,10820,21040,14320
-21680,-12140,-6610,10280,21040,15110
-22220,-12160,-7170,12080,20360,15110
-22480,-12420,-7170,12700,20360,15010
-23020,-12880,-5410,12480,19820,15010
-23200,-13100,-5530,12300,20600,14930
-23210,-12290,-6050,12300,20600,14650
-23850,-9390,-6790,11940,20080,14010
-23860,-8600,-6790,11860,19760,13630
-24020,-9020,-6790,12680,19760,13390
-24030,-9160,-7050,12620,20530,13090
-24870,-7640,-7050,12380,20250,12930
-23710,-8660,-7050,12380,20110,12930
-23720,-8900,-6520,12340,20110,12690
-24440,-8920,-6880,11720,19890,14630
-24450,-9540,-4910,11260,19570,14070
-24910,-9560,-5850,11120,18790,16410
-25450,-10200,-6130,10480,21310,15990
-25930,-10740,-4470,10080,21310,15750
-26490,-11080,-4490,10060,20770,17230
-26500,-11460,-4570,12410,19830,16290
-26510,-9490,-4630,11830,19250,15550
-26590,-9110,-4630,11650,19250,15430
-26910,-9710,-5150,11650,19230,16890
-26920,-10250,-5290,11590,19150,17720
-26980,-10270,-5290,11590,19230,17720
-27100,-10490,-4730,11490,19110,17720
-27560,-10730,-4750,11190,20170,17680
-27960,-9110,-5010,10910,20170,17000
-28120,-9130,-5030,11430,19850,17000
-28620,-7830,-5190,11430,19450,16760
-28720,-7850,-5290,11390,19710,16760
-28920,-7410,-5330,11310,19590,16760
-29160,-6030,-5350,10670,19570,16300
-29600,-6370,-5990,12530,19430,16000
-29820,-6590,-3450,11770,18670,15420
-30220,-5110,-4010,11670,18390,15280
-30500,-4250,-4010,11470,18150,15140
-30680,-4730,-4570,10970,20370,14640
-30980,-3550,-4750,10610,20030,14640
-31280,-3690,-5130,11630,20030,14440
-31680,-4090,-5450,11630,21410,14180
-31690,-3740,-5450,11470,21250,14160
-31830,-3760,-5630,11870,21190,14160
-31510,-3940,-5630,11870,21110,14100
-32290,-4120,-6370,11050,23750,13980
-32450,-4500,-6370,12090,23750,13480
-31690,-4520,-6630,11850,23750,13240
-31700,-5480,-2240,10970,22590,11860
-32140,-5640,-2240,10730,22590,12700
-30120,-6020,-2500,9730,22210,12700
-30130,-6080,-2500,9630,22190,12890
-30350,-6820,-2640,9350,21990,14470
-30850,-7480,-3320,9010,24210,14430
-30910,-7880,-3720,9870,24210,14430
-30270,-7920,-3860,9610,24010,14430
-30530,-8180,-4200,9610,25250,14050
-32090,-9040,-5500,9610,24930,18090
-32150,-9260,-5140,9590,24930,18030
-32160,-9640,-5520,10360,24930,18030
-32170,-10320,-5580,9360,24930,19780
-32190,-10340,-5620,9280,24930,19940
-32390,-10540,-5620,9900,24710,19940
-32610,-10560,-6180,9220,24290,21840
-32650,-10760,-5440,9020,24290,21540
-31090,-10880,-5840,9020,23890,20900
-31100,-10900,-5900,8960,24120,20820
-28520,-11540,-6080,8320,23600,20220
-28720,-11560,-5320,8320,23420,19860
-28730,-10030,-5340,7840,23340,18920
-28970,-10050,-5360,7820,23280,19280
-29390,-10550,-5620,7820,24960,18780
-29400,-10790,-5640,7280,26310,18240
-28740,-11170,-5640,7260,26310,17980
-29100,-11190,-6280,7260,28290,17020
-29260,-11210,-6300,7260,28650,16860
-29440,-11430,-6300,6840,29470,16860
-30300,-11550,-6720,9500,28870,16200
-30460,-11210,-6820,9500,28870,16120
-28240,-11750,-7040,8800,28110,16120
-28500,-11770,-7500,8200,28030,17540
-29920,-12990,-7560,7760,26510,22200
-31200,-13070,-1920,6280,25110,20800
-31240,-13790,-2340,8580,24350,20440
-31300,-13810,-2460,8560,24350,20660
-29660,-14470,-2460,8020,24270,20300
-30080,-15230,-500,7660,24250,19900
-30090,-15250,-540,7460,24520,19900
